TRAIN_NO,DATE,STATION_DEPART,STATION_ARRV,NUM_PASSENGER
5,20190719,서울,대전,91.0
5,20190720,서울,대전,157.0
5,20190721,서울,대전,111.0
5,20190722,서울,대전,100.0
5,20190723,서울,대전,131.0
5,20190724,서울,대전,138.0
5,20190725,서울,대전,131.0
5,20190726,서울,대전,76.0
5,20190727,서울,대전,116.0
5,20190728,서울,대전,86.0
5,20190729,서울,대전,87.0
5,20190730,서울,대전,95.0
5,20190701,서울,동대구,123.0
5,20190702,서울,동대구,158.0
5,20190703,서울,동대구,153.0
5,20190704,서울,동대구,189.0
5,20190705,서울,동대구,143.0
5,20190706,서울,동대구,179.0
5,20190707,서울,동대구,160.0
5,20190708,서울,동대구,129.0
5,20190709,서울,동대구,146.0
5,20190710,서울,동대구,161.0
5,20190711,서울,동대구,212.0
5,20190712,서울,동대구,150.0
5,20190713,서울,동대구,151.0
5,20190714,서울,동대구,178.0
5,20190715,서울,동대구,138.0
5,20190716,서울,동대구,174.0
5,20190717,서울,동대구,139.0
5,20190718,서울,동대구,188.0
5,20190719,서울,동대구,175.0
5,20190720,서울,동대구,156.0
5,20190721,서울,동대구,166.0
5,20190722,서울,동대구,160.0
5,20190723,서울,동대구,152.0
5,20190724,서울,동대구,179.0
5,20190725,서울,동대구,196.0
5,20190726,서울,동대구,140.0
5,20190727,서울,동대구,190.0
5,20190728,서울,동대구,171.0
5,20190729,서울,동대구,138.0
5,20190730,서울,동대구,137.0
5,20190701,서울,부산,202.0
5,20190702,서울,부산,183.0
5,20190703,서울,부산,163.0
5,20190704,서울,부산,205.0
5,20190705,서울,부산,239.0
5,20190706,서울,부산,179.0
5,20190707,서울,부산,189.0
5,20190708,서울,부산,171.0
5,20190709,서울,부산,184.0
5,20190710,서울,부산,226.0
5,20190711,서울,부산,212.0
5,20190712,서울,부산,229.0
5,20190713,서울,부산,122.0
5,20190714,서울,부산,180.0
5,20190715,서울,부산,191.0
5,20190716,서울,부산,209.0
5,20190717,서울,부산,169.0
5,20190718,서울,부산,206.0
5,20190719,서울,부산,223.0
5,20190720,서울,부산,212.0
5,20190721,서울,부산,206.0
5,20190722,서울,부산,178.0
5,20190723,서울,부산,222.0
5,20190724,서울,부산,225.0
5,20190725,서울,부산,265.0
5,20190726,서울,부산,240.0
5,20190727,서울,부산,188.0
5,20190728,서울,부산,156.0
5,20190729,서울,부산,104.0
5,20190730,서울,부산,123.0
5,20190701,서울,오송,55.0
5,20190702,서울,오송,90.0
5,20190703,서울,오송,114.0
5,20190704,서울,오송,108.0
5,20190705,서울,오송,104.0
5,20190706,서울,오송,93.0
5,20190707,서울,오송,87.0
5,20190708,서울,오송,81.0
5,20190709,서울,오송,84.0
5,20190710,서울,오송,120.0
5,20190711,서울,오송,127.0
5,20190712,서울,오송,148.0
5,20190713,서울,오송,89.0
5,20190714,서울,오송,72.0
5,20190715,서울,오송,88.0
5,20190716,서울,오송,98.0
5,20190717,서울,오송,96.0
5,20190718,서울,오송,104.0
5,20190719,서울,오송,116.0
5,20190720,서울,오송,75.0
5,20190721,서울,오송,65.0
5,20190722,서울,오송,77.0
5,20190723,서울,오송,89.0
5,20190724,서울,오송,110.0
5,20190725,서울,오송,113.0
5,20190726,서울,오송,156.0
5,20190727,서울,오송,53.0
5,20190728,서울,오송,101.0
5,20190729,서울,오송,87.0
5,20190730,서울,오송,95.0
5,20190701,서울,광명,6.0
5,20190702,서울,광명,7.0
5,20190703,서울,광명,5.0
5,20190704,서울,광명,6.0
5,20190705,서울,광명,6.0
5,20190706,서울,광명,8.0
5,20190707,서울,광명,9.0
5,20190708,서울,광명,6.0
5,20190709,서울,광명,5.0
5,20190710,서울,광명,9.0
5,20190711,서울,광명,9.0
5,20190712,서울,광명,5.0
5,20190713,서울,광명,10.0
5,20190714,서울,광명,10.0
5,20190715,서울,광명,3.0
5,20190716,서울,광명,2.0
5,20190717,서울,광명,11.0
5,20190718,서울,광명,7.0
5,20190719,서울,광명,16.0
5,20190720,서울,광명,10.0
5,20190721,서울,광명,9.0
5,20190722,서울,광명,9.0
5,20190723,서울,광명,7.0
5,20190724,서울,광명,4.0
5,20190725,서울,광명,10.0
5,20190726,서울,광명,15.0
5,20190727,서울,광명,23.0
5,20190728,서울,광명,7.0
5,20190729,서울,광명,11.0
5,20190730,서울,광명,0.0
5,20190701,서울,울산,113.0
5,20190702,서울,울산,74.0
5,20190703,서울,울산,101.0
5,20190704,서울,울산,97.0
5,20190705,서울,울산,172.0
5,20190706,서울,울산,147.0
5,20190707,서울,울산,157.0
5,20190708,서울,울산,66.0
5,20190709,서울,울산,72.0
5,20190710,서울,울산,110.0
5,20190711,서울,울산,82.0
5,20190712,서울,울산,129.0
5,20190713,서울,울산,68.0
5,20190714,서울,울산,186.0
5,20190715,서울,울산,103.0
5,20190716,서울,울산,77.0
5,20190717,서울,울산,112.0
5,20190718,서울,울산,110.0
5,20190719,서울,울산,145.0
5,20190720,서울,울산,126.0
5,20190721,서울,울산,161.0
5,20190722,서울,울산,94.0
5,20190723,서울,울산,108.0
5,20190724,서울,울산,101.0
5,20190725,서울,울산,79.0
5,20190726,서울,울산,136.0
5,20190727,서울,울산,202.0
5,20190728,서울,울산,186.0
5,20190729,서울,울산,132.0
5,20190730,서울,울산,91.0
5,20190701,대전,동대구,15.0
5,20190702,대전,동대구,22.0
5,20190703,대전,동대구,21.0
5,20190704,대전,동대구,31.0
5,20190705,대전,동대구,30.0
5,20190706,대전,동대구,37.0
5,20190707,대전,동대구,31.0
5,20190708,대전,동대구,16.0
5,20190709,대전,동대구,25.0
5,20190710,대전,동대구,22.0
5,20190711,대전,동대구,16.0
5,20190712,대전,동대구,37.0
5,20190713,대전,동대구,32.0
5,20190714,대전,동대구,30.0
5,20190715,대전,동대구,19.0
5,20190716,대전,동대구,48.0
5,20190717,대전,동대구,46.0
5,20190718,대전,동대구,25.0
5,20190719,대전,동대구,33.0
5,20190720,대전,동대구,32.0
5,20190721,대전,동대구,19.0
5,20190722,대전,동대구,13.0
5,20190723,대전,동대구,19.0
5,20190724,대전,동대구,53.0
5,20190725,대전,동대구,30.0
5,20190726,대전,동대구,34.0
5,20190727,대전,동대구,30.0
5,20190728,대전,동대구,25.0
5,20190729,대전,동대구,13.0
5,20190730,대전,동대구,24.0
5,20190701,대전,부산,22.0
5,20190702,대전,부산,39.0
5,20190703,대전,부산,32.0
5,20190704,대전,부산,47.0
5,20190705,대전,부산,70.0
5,20190706,대전,부산,31.0
5,20190707,대전,부산,30.0
5,20190708,대전,부산,32.0
5,20190709,대전,부산,32.0
5,20190710,대전,부산,39.0
5,20190711,대전,부산,49.0
5,20190712,대전,부산,71.0
5,20190713,대전,부산,46.0
5,20190714,대전,부산,35.0
5,20190715,대전,부산,17.0
5,20190716,대전,부산,30.0
5,20190717,대전,부산,37.0
5,20190718,대전,부산,34.0
5,20190719,대전,부산,54.0
5,20190720,대전,부산,26.0
5,20190721,대전,부산,24.0
5,20190722,대전,부산,20.0
5,20190723,대전,부산,32.0
5,20190724,대전,부산,46.0
5,20190725,대전,부산,59.0
5,20190726,대전,부산,42.0
5,20190727,대전,부산,41.0
5,20190728,대전,부산,21.0
5,20190729,대전,부산,22.0
5,20190730,대전,부산,33.0
5,20190701,대전,울산,18.0
5,20190702,대전,울산,16.0
5,20190703,대전,울산,14.0
5,20190704,대전,울산,14.0
5,20190705,대전,울산,33.0
5,20190706,대전,울산,42.0
5,20190707,대전,울산,47.0
5,20190708,대전,울산,18.0
5,20190709,대전,울산,15.0
5,20190710,대전,울산,22.0
5,20190711,대전,울산,38.0
5,20190712,대전,울산,23.0
5,20190713,대전,울산,26.0
5,20190714,대전,울산,50.0
5,20190715,대전,울산,10.0
5,20190716,대전,울산,20.0
5,20190717,대전,울산,14.0
5,20190718,대전,울산,25.0
5,20190719,대전,울산,46.0
